Date,Position,TrendScore,StrategyReturn,BuyHoldReturn,StrategyEquity,BuyHoldEquity
2010-12-23,0.000000,0.000000,-0.00000000,-0.00531822,1.000000,1.347470
2010-12-27,0.000000,0.000000,0.00000000,0.00012203,1.000000,1.347634
2010-12-28,0.000000,0.000000,-0.00000000,-0.00291623,1.000000,1.343704
2010-12-29,0.000000,0.000000,0.00000000,0.00402111,1.000000,1.349107
2010-12-30,0.000000,0.000000,-0.00000000,-0.00509800,1.000000,1.342230
2010-12-31,0.000000,0.000000,-0.00000000,-0.00658730,1.000000,1.333388
2011-01-03,1.000000,1.000000,0.00000000,0.03070073,1.000000,1.374324
2011-01-04,1.000000,1.000000,-0.00228675,-0.00178675,0.997713,1.371868
2011-01-05,1.000000,1.000000,0.01742618,0.01742618,1.015100,1.395775
2011-01-06,1.000000,1.000000,0.00610053,0.00610053,1.021292,1.404290
2011-01-07,1.000000,1.000000,-0.00128269,-0.00128269,1.019982,1.402488
2011-01-10,1.000000,1.000000,0.00665538,0.00665538,1.026771,1.411823
2011-01-11,1.000000,1.000000,0.00266727,0.00266727,1.029509,1.415588
2011-01-12,1.000000,1.000000,0.01411254,0.01411254,1.044038,1.435566
2011-01-13,1.000000,1.000000,0.00228138,0.00228138,1.046420,1.438841
2011-01-14,1.000000,1.000000,0.01433877,0.01433877,1.061424,1.459472
2011-01-18,1.000000,1.000000,0.00538527,0.00538527,1.067141,1.467332
2011-01-19,1.000000,1.000000,-0.02243010,-0.02243010,1.043204,1.434419
2011-01-20,1.000000,1.000000,-0.01563917,-0.01563917,1.026890,1.411986
2011-01-21,1.000000,1.000000,-0.01495995,-0.01495995,1.011527,1.390863
2011-01-24,1.000000,1.000000,0.02813700,0.02813700,1.039989,1.429998
2011-01-25,1.000000,1.000000,0.00217581,0.00217581,1.042252,1.433109
2011-01-26,1.000000,1.000000,0.01165498,0.01165498,1.054399,1.449812
2011-01-27,1.000000,1.000000,0.01197165,0.01197165,1.067022,1.467169
2011-01-28,0.860280,1.000000,-0.05078121,-0.05078121,1.012837,1.392664
2011-01-31,0.861893,1.000000,0.00852817,0.00999446,1.021475,1.406583
2011-02-01,0.837534,1.000000,0.03170543,0.03678675,1.053861,1.458327
2011-02-02,0.836592,1.000000,-0.00264530,-0.00314390,1.051073,1.453742
2011-02-03,0.850377,1.000000,0.00244931,0.00292829,1.053648,1.457999
2011-02-04,0.845219,1.000000,0.01030751,0.01212921,1.064508,1.475683
2011-02-07,0.843454,1.000000,0.00815732,0.00965419,1.073192,1.489930
2011-02-08,0.836799,1.000000,0.01195684,0.01417709,1.086024,1.511052
2011-02-09,0.833039,1.000000,-0.00372078,-0.00444247,1.081983,1.504340
2011-02-10,0.840758,1.000000,0.00299003,0.00359156,1.085218,1.509743
2011-02-11,0.833810,1.000000,0.01139449,0.01355723,1.097584,1.530211
2011-02-14,0.841604,1.000000,0.00401210,0.00481594,1.101987,1.537580
2011-02-15,0.840502,1.000000,-0.00206543,-0.00244953,1.099711,1.533814
2011-02-16,0.878295,1.000000,0.01112623,0.01323826,1.111947,1.554119
2011-02-17,0.906815,1.000000,-0.00075959,-0.00084334,1.111102,1.552808
2011-02-18,0.933184,1.000000,-0.00374357,-0.00411253,1.106943,1.546422
2011-02-22,0.736215,1.000000,-0.05524945,-0.05919118,1.045785,1.454887
2011-02-23,0.724600,1.000000,-0.01203057,-0.01620733,1.033203,1.431308
2011-02-24,0.726253,1.000000,0.00704085,0.00972489,1.040478,1.445227
2011-02-25,0.701210,1.000000,0.02065238,0.02843802,1.061966,1.486326
2011-02-28,0.833992,1.000000,0.00354151,0.00506842,1.065727,1.493860
2011-03-01,0.771665,1.000000,-0.02666891,-0.03189780,1.037305,1.446209
2011-03-02,0.838354,1.000000,0.00748299,0.00973759,1.045068,1.460291
2011-03-03,0.761562,1.000000,0.03286892,0.03924627,1.079418,1.517602
2011-03-04,0.753784,1.000000,-0.00841957,-0.01100524,1.070330,1.500901
2011-03-07,0.728916,1.000000,-0.01949440,-0.02585690,1.049464,1.462092
2011-03-08,0.730489,1.000000,0.00545724,0.00750384,1.055191,1.473063
2011-03-09,0.733150,0.800000,-0.01023188,-0.01400583,1.044395,1.452432
2011-03-10,0.702949,0.800000,-0.02215283,-0.03021413,1.021258,1.408548
2011-03-11,0.697078,0.800000,0.00799293,0.01139206,1.029421,1.424594
2011-03-14,0.706740,0.800000,-0.00505072,-0.00724135,1.024222,1.414278
2011-03-15,0.691189,0.800000,-0.01923385,-0.02720806,1.004522,1.375799
2011-03-16,0.478186,0.600000,-0.03332544,-0.04820337,0.971046,1.309480
2011-03-17,0.632450,0.800000,0.00820517,0.01738169,0.979014,1.332241
2011-03-18,0.633315,0.800000,-0.00264223,-0.00405580,0.976427,1.326838
2011-03-21,0.588493,0.800000,0.02321253,0.03665310,0.999092,1.375471
2011-03-22,0.667574,0.800000,-0.00072300,-0.00119048,0.998370,1.373833
2011-03-23,0.669496,0.800000,0.00664411,0.01001185,1.005003,1.387588
2011-03-24,0.629638,1.000000,0.02535998,0.03788066,1.030490,1.440151
2011-03-25,0.652838,1.000000,0.00155472,0.00250089,1.032092,1.443752
2011-03-28,0.651021,0.800000,-0.00778594,-0.01190854,1.024056,1.426559
2011-03-29,0.667947,0.800000,0.01277749,0.01962826,1.037141,1.454560
2011-03-30,0.667914,1.000000,0.00653355,0.00979421,1.043918,1.468806
2011-03-31,0.723334,1.000000,0.00201002,0.00300942,1.046016,1.473227
2011-04-01,0.727295,0.800000,0.00053531,0.00077837,1.046576,1.474373
2011-04-04,0.754271,0.800000,-0.00436363,-0.00599708,1.042009,1.465532
2011-04-05,0.755137,1.000000,-0.00464883,-0.00614546,1.037165,1.456525
2011-04-06,0.763360,0.800000,0.00365020,0.00483440,1.040951,1.463567
2011-04-07,0.814972,1.000000,-0.00034564,-0.00044741,1.040591,1.462912
2011-04-08,0.813234,1.000000,-0.00796224,-0.00973829,1.032305,1.448666
2011-04-11,0.813756,1.000000,-0.00542441,-0.00666911,1.026706,1.439004
2011-04-12,0.850509,1.000000,-0.01083413,-0.01331341,1.015582,1.419846
2011-04-13,1.000000,1.000000,0.01400819,0.01649196,1.029809,1.443262
2011-04-14,1.000000,1.000000,-0.00438638,-0.00431163,1.025292,1.437039
2011-04-15,1.000000,0.800000,-0.00319056,-0.00319056,1.022020,1.432454
2011-04-18,1.000000,0.800000,-0.01440315,-0.01440315,1.007300,1.411823
2011-04-19,1.000000,1.000000,0.01264212,0.01264212,1.020034,1.429671
2011-04-20,0.985494,1.000000,0.04455340,0.04455340,1.065480,1.493368
2011-04-21,1.000000,1.000000,0.01566117,0.01589905,1.082167,1.517111
2011-04-25,1.000000,1.000000,0.00571393,0.00572118,1.088351,1.525791
2011-04-26,1.000000,1.000000,0.01051677,0.01051677,1.099796,1.541837
2011-04-27,1.000000,1.000000,0.01401876,0.01401876,1.115214,1.563452
2011-04-28,1.000000,1.000000,-0.00251360,-0.00251360,1.112411,1.559522
2011-04-29,1.000000,1.000000,-0.00083968,-0.00083968,1.111477,1.558212
2011-05-02,1.000000,1.000000,-0.00430875,-0.00430875,1.106688,1.551498
2011-05-03,1.000000,1.000000,-0.01034333,-0.01034333,1.095241,1.535451
2011-05-04,1.000000,1.000000,-0.00213289,-0.00213289,1.092905,1.532176
2011-05-05,1.000000,1.000000,-0.01207636,-0.01207636,1.079707,1.513672
2011-05-06,1.000000,1.000000,0.00778904,0.00778904,1.088117,1.525463
2011-05-09,1.000000,1.000000,0.00719187,0.00719187,1.095942,1.536433
2011-05-10,1.000000,1.000000,0.01641239,0.01641239,1.113929,1.561650
2011-05-11,1.000000,1.000000,-0.01467976,-0.01467976,1.097577,1.538725
2011-05-12,1.000000,1.000000,0.01128047,0.01128047,1.109958,1.556083
2011-05-13,1.000000,1.000000,-0.02315048,-0.02315048,1.084262,1.520059
2011-05-16,0.912195,0.800000,-0.03479484,-0.03479484,1.046535,1.467169
2011-05-17,0.933237,0.800000,0.00463954,0.00513426,1.051391,1.474701
2011-05-18,0.922442,0.800000,0.01646526,0.01765444,1.068702,1.500736
2011-05-19,1.000000,0.800000,0.00502713,0.00545566,1.074075,1.508924
2011-05-20,0.750000,0.600000,-0.01523124,-0.01519246,1.057715,1.486000
2011-05-23,0.750000,0.600000,-0.02153012,-0.02854017,1.034943,1.443589
2011-05-24,1.000000,0.800000,-0.00961301,-0.01281735,1.024994,1.425086
2011-05-25,1.000000,0.800000,0.00734320,0.00746820,1.032520,1.435729
2011-05-26,0.750000,0.600000,0.01277396,0.01277396,1.045710,1.454069
2011-05-27,0.750000,0.600000,0.00722314,0.00979752,1.053263,1.468315
2011-05-31,0.920757,0.800000,0.02325155,0.03100207,1.077753,1.513836
2011-06-01,0.810133,0.800000,-0.03972380,-0.04304983,1.034941,1.448666
2011-06-02,0.605365,0.600000,0.00379034,0.00474694,1.038863,1.455542
2011-06-03,0.580356,0.600000,-0.01808139,-0.02969943,1.020079,1.412313
2011-06-06,0.578673,0.600000,-0.01010556,-0.01739114,1.009771,1.387752
2011-06-07,0.583834,0.600000,-0.00163960,-0.00283193,1.008115,1.383822
2011-06-08,0.599726,0.600000,-0.00884537,-0.01514606,0.999198,1.362862
2011-06-09,0.599352,0.600000,0.00172168,0.00288402,1.000918,1.366793
2011-06-10,0.591701,0.600000,-0.01766471,-0.02947271,0.983237,1.326510
2011-06-13,0.600530,0.600000,-0.00088013,-0.00148100,0.982372,1.324545
2011-06-14,0.598931,0.600000,0.01506630,0.02509570,0.997173,1.357786
2011-06-15,0.567948,0.600000,-0.02101964,-0.03509395,0.976213,1.310135
2011-06-16,0.392524,0.400000,-0.00484249,-0.00849901,0.971485,1.299001
2011-06-17,0.000000,0.200000,-0.00275947,-0.00680662,0.968804,1.290159
2011-06-20,0.000000,0.200000,-0.00019626,0.00977236,0.968614,1.302767
2011-06-21,0.532422,0.600000,0.00000000,0.04260968,0.968614,1.358277
2011-06-22,0.532092,0.600000,-0.00739090,-0.01338167,0.961455,1.340101
2011-06-23,0.522524,0.600000,0.00988238,0.01857302,0.970957,1.364991
2011-06-24,0.000000,0.200000,-0.01824552,-0.03490889,0.953241,1.317341
2011-06-27,0.478543,0.600000,-0.00026126,0.03244294,0.952992,1.360079
2011-06-28,0.481492,0.600000,0.01358794,0.02889438,0.965941,1.399378
2011-06-29,0.517444,0.600000,0.00422401,0.00877582,0.970022,1.411658
2011-06-30,0.667938,0.800000,0.01330692,0.02575140,0.982930,1.448010
2011-07-01,0.671942,1.000000,0.02039434,0.03064593,1.002976,1.492386
2011-07-05,0.685594,1.000000,0.00633823,0.00943569,1.009333,1.506468
2011-07-06,0.687431,1.000000,0.00394254,0.00576050,1.013312,1.515146
2011-07-07,0.684531,1.000000,0.01983543,0.02885576,1.033412,1.558866
2011-07-08,0.679383,1.000000,-0.00424371,-0.00619732,1.029026,1.549206
2011-07-11,0.665366,1.000000,-0.02384323,-0.03509162,1.004491,1.494842
2011-07-12,0.651633,1.000000,-0.01108551,-0.01665024,0.993356,1.469952
2011-07-13,0.663311,1.000000,0.00565531,0.00868920,0.998973,1.482725
2011-07-14,0.690426,1.000000,-0.01524256,-0.02297072,0.983746,1.448666
2011-07-15,0.683800,1.000000,0.01816979,0.02633643,1.001621,1.486818
2011-07-18,0.680098,1.000000,-0.00708215,-0.01035219,0.994527,1.471426
2011-07-19,0.636622,1.000000,0.03110395,0.04573725,1.025461,1.538725
2011-07-20,0.664777,1.000000,-0.00598350,-0.00936468,1.019325,1.524316
2011-07-21,0.675749,1.000000,0.00969813,0.01460973,1.029211,1.546586
2011-07-22,0.674726,1.000000,0.01344519,0.01990485,1.043049,1.577370
2011-07-25,0.739318,1.000000,-0.00231196,-0.00342576,1.040637,1.571966
2011-07-26,0.764395,1.000000,0.00258629,0.00354190,1.043328,1.577534
2011-07-27,0.664114,0.800000,-0.03865294,-0.05055033,1.003001,1.497789
2011-07-28,0.664966,0.800000,0.00205538,0.00317042,1.005062,1.502538
2011-07-29,0.679271,0.800000,-0.00471059,-0.00708331,1.000328,1.491895
2011-08-01,0.708521,0.800000,-0.00492818,-0.00724458,0.995398,1.481087
2011-08-02,0.316513,0.400000,-0.03659564,-0.05163009,0.958971,1.404618
2011-08-03,0.467855,0.600000,0.00541252,0.01771974,0.964161,1.429508
2011-08-04,0.000000,0.200000,-0.04294901,-0.09163810,0.922752,1.298510
2011-08-05,0.000000,0.200000,-0.00023393,-0.01349322,0.922536,1.280989
2011-08-08,0.000000,0.200000,-0.00000000,-0.11709096,0.922536,1.130997
2011-08-09,0.000000,0.200000,0.00000000,0.09251560,0.922536,1.235632
2011-08-10,0.000000,0.200000,-0.00000000,-0.08189817,0.922536,1.134436
2011-08-11,0.000000,0.200000,0.00000000,0.08790374,0.922536,1.234157
2011-08-12,0.000000,0.200000,0.00000000,0.01671819,0.922536,1.254790
2011-08-15,0.000000,0.200000,0.00000000,0.02936133,0.922536,1.291632
2011-08-16,0.000000,0.200000,-0.00000000,-0.01686059,0.922536,1.269854
2011-08-17,0.000000,0.200000,-0.00000000,-0.01096053,0.922536,1.255936
2011-08-18,0.000000,0.200000,-0.00000000,-0.09739236,0.922536,1.133618
2011-08-19,0.000000,0.200000,-0.00000000,-0.03654508,0.922536,1.092189
2011-08-22,0.000000,0.200000,0.00000000,0.00644625,0.922536,1.099230
2011-08-23,0.000000,0.200000,0.00000000,0.08133540,0.922536,1.188636
2011-08-24,0.000000,0.200000,0.00000000,0.01542876,0.922536,1.206975
2011-08-25,0.000000,0.200000,-0.00000000,-0.03147445,0.922536,1.168987
2011-08-26,0.000000,0.200000,0.00000000,0.04874641,0.922536,1.225970
2011-08-29,0.000000,0.200000,0.00000000,0.05783310,0.922536,1.296872
2011-08-30,0.000000,0.200000,0.00000000,0.01199522,0.922536,1.312428
2011-08-31,0.000000,0.200000,0.00000000,0.00461616,0.922536,1.318487
2011-09-01,0.000000,0.200000,-0.00000000,-0.01962201,0.922536,1.292615
2011-09-02,0.000000,0.200000,-0.00000000,-0.04674508,0.922536,1.232192
2011-09-06,0.000000,0.200000,0.00000000,0.00039890,0.922536,1.232684
2011-09-07,0.161045,0.400000,0.00000000,0.05021298,0.922536,1.294580
2011-09-08,0.176000,0.400000,-0.00156763,-0.00923406,0.921089,1.282626
2011-09-09,0.188133,0.400000,-0.00782667,-0.04442733,0.913880,1.225642
2011-09-12,0.186978,0.400000,0.00499577,0.02658663,0.918446,1.258228
2011-09-13,0.187530,0.400000,0.00479308,0.02563762,0.922848,1.290486
2011-09-14,0.373051,0.800000,0.00537751,0.02867698,0.927811,1.327493
2011-09-15,0.370735,1.000000,0.01095117,0.02960431,0.937971,1.366793
2011-09-16,0.450034,1.000000,0.00630557,0.01701143,0.943886,1.390044
2011-09-19,0.473459,1.000000,0.00096760,0.00223817,0.944799,1.393155
2011-09-20,0.468970,1.000000,-0.00407397,-0.00857996,0.940950,1.381202
2011-09-21,0.381933,0.600000,-0.01651471,-0.03521007,0.925411,1.332570
2011-09-22,0.227407,0.400000,-0.02472991,-0.06463545,0.902525,1.246438
2011-09-23,0.232187,0.400000,0.00461299,0.02062492,0.906689,1.272146
2011-09-26,0.241407,0.400000,0.00531750,0.02291214,0.911510,1.301294
2011-09-27,0.259483,0.400000,0.00503788,0.02088796,0.916102,1.328475
2011-09-28,0.253873,0.400000,-0.00768512,-0.02958224,0.909062,1.289176
2011-09-29,0.000000,0.200000,-0.00587142,-0.02311632,0.903724,1.259375
2011-09-30,0.000000,0.200000,-0.00012694,-0.05148889,0.903609,1.194531
2011-10-03,0.000000,0.200000,-0.00000000,-0.05222737,0.903609,1.132144
2011-10-04,0.000000,0.200000,0.00000000,0.04093091,0.903609,1.178483
2011-10-05,0.224619,0.400000,0.00000000,0.05141030,0.903609,1.239070
2011-10-06,0.000000,0.200000,0.00730867,0.03303809,0.910214,1.280006
2011-10-07,0.000000,0.200000,-0.00011231,-0.01253628,0.910111,1.263960
2011-10-10,0.212010,0.400000,0.00000000,0.06840245,0.910111,1.350418
2011-10-11,0.427270,0.800000,0.00256760,0.01261078,0.912448,1.367447
2011-10-12,0.324134,0.600000,0.00480412,0.01149564,0.916832,1.383167
2011-10-13,0.436296,0.800000,0.00601125,0.01870462,0.922343,1.409039
2011-10-14,0.428501,1.000000,0.01566179,0.03602569,0.936788,1.459800
2011-10-17,0.420463,0.800000,-0.01250085,-0.02916433,0.925078,1.417226
2011-10-18,0.417940,0.800000,0.00980900,0.02333860,0.934152,1.450302
2011-10-19,0.311941,0.600000,-0.01609208,-0.03850029,0.919119,1.394465
2011-10-20,0.342036,0.600000,-0.00283691,-0.00892447,0.916512,1.382020
2011-10-21,0.341153,0.600000,0.00825221,0.02417073,0.924075,1.415425
2011-10-24,0.334280,0.600000,0.01408917,0.04130002,0.937095,1.473882
2011-10-25,0.322937,0.600000,-0.01292746,-0.03866229,0.924980,1.416898
2011-10-26,0.330218,0.600000,-0.00093867,-0.00288910,0.924112,1.412805
2011-10-27,0.427777,1.000000,0.01840552,0.05574848,0.941121,1.491566
